idf_rank,term,idf,doc_freq,doc_freq%
311,pepper salt,6.624296820794085,374,0.27
312,sugar cornstarch,6.622314659590094,4319,3.09
313,leeks,6.622314659590094,1966,1.41
314,celery_salt,6.618362085274271,3264,2.34
315,nonfat_milk,6.616391641286972,1399,1.0
316,brandy,6.614425072314932,345,0.25
317,butter cream_cheese,6.61050349866175,1299,0.93
318,cornstarch water,6.608548463825946,410,0.29
319,orange_rind,6.608548463825946,564,0.4
320,ground_pork,6.606597243694685,4698,3.36
321,peaches,6.606597243694685,353,0.25
322,cracked_black_pepper,6.602706188201718,1081,0.77
323,bacon onion,6.600766323383891,318,0.23
324,kosher_salt fresh_ground_black_pepper,6.596897846605971,742,0.53
325,stewed_tomatoes,6.591123047112087,630,0.45
326,low_sodium_soy_sauce,6.589205500982815,1237,0.89
327,black_pepper salt,6.589205500982815,745,0.53
328,vegetable_oil onion,6.5834748262738305,554,0.4
329,eggs all,6.579672540324092,932,0.67
330,ground_cardamom,6.579672540324092,493,0.35
331,russet_potatoes,6.579672540324092,482,0.35
332,peanuts,6.575884657007155,351,0.25
333,garlic_cloves onion,6.575884657007155,11683,8.37
334,velveeta_cheese,6.575884657007155,428,0.31
335,green_peppers,6.573996082319287,333,0.24
336,milk egg,6.57022959952381,593,0.42
337,eggs butter,6.56835166469961,5638,4.04
338,hoisin_sauce,6.56835166469961,319,0.23
339,butter all,6.566477249905259,15140,10.84
340,cooked_ham,6.564606341969448,346,0.25
341,taco_seasoning,6.564606341969448,658,0.47
342,basil_leaves,6.5571575179564565,528,0.38
343,pumpkin,6.5571575179564565,638,0.46
344,and half_cream,6.553453810018972,7070,5.06
345,cottage_cheese,6.549763768931519,649,0.46
346,baby_spinach,6.549763768931519,555,0.4
347,creamy_peanut_butter,6.547923842009512,1629,1.17
348,lime _juice_of,6.547923842009512,2217,1.59
349,half_cream,6.547923842009512,828,0.59
350,chili_sauce,6.54608729420221,405,0.29
351,ice_cubes,6.544254113120549,403,0.29
352,avocados,6.536954810638937,499,0.36
353,frozen_corn,6.52790497511902,377,0.27
354,garlic_powder salt,6.526104794614872,399,0.29
355,baking_soda cinnamon,6.517152183342758,3815,2.73
356,salt_and_black_pepper,6.517152183342758,357,0.26
357,ground_turkey,6.517152183342758,328,0.23
358,brown_sugar eggs,6.517152183342758,876,0.63
359,salt egg,6.515371238971763,1965,1.41
360,fresh_oregano,6.510047357719013,381,0.27
361,corn_tortillas,6.510047357719013,379,0.27
362,water butter,6.508279010662271,1070,0.77
363,onion salt,6.506513785137702,352,0.25
364,egg vanilla,6.5047516701443024,3438,2.46
365,red_bell_peppers,6.502992654739123,3628,2.6
366,self,6.499483879209444,2588,1.85
367,romaine_lettuce,6.494243692545887,529,0.38
368,lemon _zest_of,6.489030822357354,813,0.58
369,splenda_sugar_substitute,6.489030822357354,3522,2.52
370,yellow_cake_mix,6.483844985324989,888,0.64
371,olive_oil butter,6.483844985324989,2424,1.74
372,heavy_whipping_cream,6.478685902514962,526,0.38
373,dry_red_wine,6.476972106037227,4068,2.91
374,sugar cinnamon,6.476972106037227,446,0.32
375,sugar brown_sugar,6.473553299288441,328,0.23
376,limes,6.470146140966827,1383,0.99
377,baby_carrots,6.4667505519656885,1261,0.9
378,beef_stock,6.459993769502809,3800,2.72
379,ground_red_pepper,6.459993769502809,394,0.28
380,garlic salt,6.459993769502809,326,0.23
381,strawberry,6.459993769502809,2227,1.59
382,cucumbers,6.456632421800104,1747,1.25
383,cinnamon_stick,6.451611490750005,669,0.48
384,butter olive_oil,6.449943433649308,512,0.37
385,asparagus,6.449943433649308,593,0.42
386,oatmeal,6.446615643556633,560,0.4
387,salt white_pepper,6.436698206899287,440,0.32
388,kidney_beans,6.435054821155557,320,0.23
389,caster_sugar,6.435054821155557,2018,1.45
390,coriander,6.433414131698097,1905,1.36
391,pasta,6.4317761296938585,543,0.39
392,celery_seed,6.4285081529292425,1000,0.72
393,salmon_fillets,6.426878160718312,361,0.26
394,_low fat_milk,6.426878160718312,434,0.31
395,_low,6.4252508210589365,874,0.63
396,pork_tenderloin,6.4252508210589365,695,0.5
397,sugar vanilla,6.4252508210589365,2908,2.08
398,apple_juice,6.423626125331935,582,0.42
399,butter egg,6.422004064960066,532,0.38
400,cream_of_tartar,6.418767816180858,6033,4.32
401,french_bread,6.4171536108263165,327,0.23
402,spaghetti_sauce,6.415542006931975,723,0.52
403,onions garlic_cloves,6.413932996126275,1287,0.92
404,cauliflower,6.412326570078001,1113,0.8
